userNum,nickname,gameId,seasonId,gameRank,character,weapon,itemWeapon,itemChest,itemHead,itemArm,itemLeg,Trait_Main1,Trait_Main2,Trait_Sub1,Trait_Sub2,TeamKill,Kill,Death,Assist,Dmg_Player,Dmg_Monster
5426009,마샤,46678118,31,2,Cathy,Dagger,Asura,The_Revenant,Imperial_Crown,Tindalos_Monarch,Straitjacket_Sneakers,Unwavering_Mentality,Cavalcade,Coin_Toss,Penny_Pincher,5,0,3,5,12065,53392
5296453,쿠로미여동생,46678118,31,1,Hisui,Two-handed_Sword,Aurora_Longsword,Áo_Dài,Blaster_Helmet,Mythril_Quiver,Blade_Boots,Contempt_for_the_Weak,Anima_Reaper,Unwavering_Mentality,Cavalcade,17,5,4,7,15397,79563
5162955,우주생명마음,46678118,31,5,Adina,Arcana,The_Moon,Blood_Cloak,Persona,Nightmare_Nails,Rose_Steps,Open_Wounds,Overwatch,Dismantle_Goliath,Anima_Reaper,19,12,2,6,36449,67664
5140049,只玩过卡拉彼丘,46678118,31,7,Ly Anh,Dagger,Maharaja,Dragon_Dobok,Cowboy_Hat,Helix,Steel_Knee_Pads,Frenzy,Carnivore,Painkiller,Dine_n'_Dash,10,0,3,6,6315,23338
5051669,초고교급마다키,46678118,31,7,Tsubame,Shuriken,Petal_Torrent,Changpao,Crystal_Tiara,Dice_of_Destiny,Gladiator,Dismantle_Goliath,Anima_Reaper,Unwavering_Mentality,Cavalcade,10,9,2,0,17556,50226
4507510,Lisha,46678118,31,5,Abigail,Axe,Scarlet_Scythe_-_Dawn,The_Revenant,Astronaut's_Helmet,Emerald_Tablet,Rose_Steps,Stopping_Power,Overwatch,Embolden,Cavalcade,19,5,3,9,26103,31188
4388419,玩的很搞笑,46678118,31,2,Debi_&_Marlene,Two-handed_Sword,Monohoshizao,Phantom_Jacket,Commander_Headset,Mythril_Quiver,Stellar_Steps,Frenzy,Anima_Reaper,Painkiller,Cavalcade,5,4,3,1,11467,40443
4208243,Pyosik,46678118,31,6,Markus,Axe,Santa_Muerte,Guardian_Suit,Tactical_Visor,Music_Box,Hiking_Boots,Painkiller,Dine_n'_Dash,Camping_Guide,Penny_Pincher,12,1,2,9,14395,32544
4201423,리톤아그거아니야,46678118,31,4,Magnus,Hammer,Monkey_King_Bar,Burgundy_47,Crusader_Helmet,Burning_Heart,Blade_Boots,Contempt_for_the_Weak,Carnivore,Painkiller,Dine_n'_Dash,5,0,2,3,5216,47480
4098060,milo99,46678118,31,6,Aya,Pistol,AK-12,Phantom_Jacket,Legatus,Radar,Blade_Boots,Dismantle_Goliath,Carnivore,Unwavering_Mentality,Dine_n'_Dash,12,6,3,2,22850,54776
